"match_id","id","total_goals","supremacy","phi","cov_lambda","fit_error","expH","expA"
265839,"laliga4437",4.8,3.03,0.15,1.36,0.0844673472047442,3.91,0.88
265894,"laliga4383",3.22,-1.17,0.23,0.04,9.97240757533244e-08,1.02,2.2
265944,"laliga4523",4.79,2.87,0.04,0.58,0.000132739001624746,3.83,0.96
265958,"laliga4541",4.91,2.88,0.04,0.59,8.62756717816667e-05,3.9,1.02
266056,"laliga4456",4.32,-4.32,0.19,1.29,0.0936567557601595,0,4.32
266106,"laliga4480",3.16,-1.43,0.19,0.14,1.3261327199647e-07,0.86,2.3
266149,"laliga4374",4.17,3.75,0.13,2.05,0.0600498216179751,3.96,0.21
266160,"laliga4408",3.48,-1.94,0.1,0.46,7.45743550651277e-08,0.77,2.71
266166,"laliga4202",2.5,-0.13,0.31,0.09,2.82240213923666e-08,1.18,1.32
266236,"laliga4186",3.1,-1.09,0.23,0.06,6.34932250543088e-08,1.01,2.09
266254,"laliga4415",4.61,3.48,0.08,1.18,0.0349130972948227,4.05,0.56
266310,"laliga4514",3.78,-3.78,0.12,1.48,0.117342122006147,0,3.78
266424,"laliga4293",3.36,0.12,0.27,0.13,2.97869511114134e-08,1.74,1.62
266467,"laliga4225",3.38,-1.27,0.21,0.21,7.86424275913141e-08,1.06,2.33
266490,"laliga4216",4.8,3.44,0.09,1.32,0.0413843375730282,4.12,0.68
266498,"laliga4463",4.52,2.67,0.05,0.51,1.23609687738442e-07,3.6,0.92
266557,"laliga4507",4.6,3.33,0.1,1.38,0.0538395980154865,3.96,0.64
266620,"laliga4360",4.45,2.66,0.04,0.49,8.88318326660389e-08,3.56,0.9
266653,"laliga4450",5.24,-4.34,0.14,1.67,0.0715182469410189,0.45,4.79
266664,"laliga4495",3.07,-1.09,0.22,0.06,9.56699200800896e-08,0.99,2.08
266670,"laliga4351",3.51,-1.85,0.12,0.38,4.92210290796624e-06,0.83,2.68
266815,"laliga4420",3.92,-3.92,0.1,1.45,0.0983994890457723,0,3.92
266885,"laliga4303",4.54,3.43,0.08,1.14,0.0419830457888652,3.99,0.55
266961,"laliga4322",4.54,3.46,0.09,1.27,0.0373434185637473,4,0.54
266986,"laliga4533",4.75,-4.14,0.11,1.11,0.0435488662496829,0.3,4.45
267273,"laliga4425",4.27,-4.27,0.16,0.85,0.075736790996608,0,4.27
267274,"laliga4315",4.32,-3.68,0.17,1.56,0.0893847353731282,0.32,4
267327,"laliga4340",4.62,3.42,0.06,0.9,0.0386911734277045,4.02,0.6
267422,"laliga4192",4,3.65,0.11,1.84,0.0496673011327379,3.83,0.18
267506,"laliga4554",4.23,-2.82,0.07,0.23,9.33483547823718e-05,0.71,3.52
267533,"laliga4483",3.73,1.2,0.19,0.11,1.52404012900363e-06,2.47,1.26
267576,"laliga4390",2.76,1.12,0.23,0.1,6.44437163003718e-08,1.94,0.82
267611,"laliga4232",4.44,3.45,0.08,1.22,0.0388376839714179,3.94,0.5
3753972,"premier506",2.64,0.35,0.29,0.12,4.54257249084345e-08,1.5,1.14
3753973,"premier674",2.8,0.73,0.26,0.13,2.15458144046552e-08,1.76,1.04
3753974,"premier556",2.9,-0.43,0.27,0.04,5.60692301660246e-08,1.23,1.67
3753975,"premier605",2.48,-0.04,0.28,0.09,4.6481254469914e-08,1.22,1.26
3753976,"premier654",2.83,1.4,0.16,0.32,6.96326156741136e-08,2.12,0.71
3753977,"premier678",2.3,0.36,0.3,0.1,7.05258145241811e-08,1.33,0.97
3753978,"premier445",2.44,0.64,0.26,0.14,9.84831071374592e-08,1.54,0.9
3753979,"premier510",2.71,1.06,0.22,0.1,2.6991231670789e-08,1.89,0.83
3753980,"premier676",2.96,-0.02,0.27,0.1,2.2211382029003e-08,1.47,1.49
3753981,"premier581",2.33,-0.21,0.31,0.07,3.67022263518249e-08,1.06,1.27
