"match_id","id","total_goals","supremacy","draw_factor","fit_error","expH","expA"
3890259,"bundesliga1",3.57,2.63,0.9,8.79111663645287e-09,3.09817596262915,0.471131882446091
3890268,"bundesliga10",2.56,0.46,1.07,8.54723985281812e-09,1.51207205666099,1.05051187103916
3890358,"bundesliga100",2.46,0,1.1,6.53436868996304e-10,1.2282972785812,1.22829727863683
3890364,"bundesliga101",4.01,2.72,0.89,2.68432373732669e-08,3.36747067888642,0.64657056648292
3890360,"bundesliga102",2.29,0.06,1.05,9.68037979778163e-10,1.17516744958747,1.1156433132132
3890362,"bundesliga103",3.02,0.35,1.1,1.59223274769157e-09,1.68453338747059,1.33422210653178
3890359,"bundesliga104",3.04,1.17,1.12,7.18609053319931e-09,2.10776979540576,0.935896163271099
3890361,"bundesliga105",3.03,-0.45,1.12,2.40162542410971e-09,1.28996159491909,1.73577268070208
3890363,"bundesliga106",2.76,0.99,1.1,4.64675393592415e-09,1.87609425595205,0.884409785459034
3890366,"bundesliga107",2.89,0.38,1.09,3.195709628082e-09,1.63453158275901,1.25093869620753
3890365,"bundesliga108",3.56,1.81,1.04,7.72987111311042e-09,2.68477286976588,0.879626860110176
3890367,"bundesliga109",3.18,-1.66,1.12,1.08715395560044e-08,0.759687180070464,2.42383528373865
3890272,"bundesliga11",2.84,0.31,1.13,2.18659219379072e-09,1.57168862689393,1.26526454528315
3890370,"bundesliga110",2.96,-0.74,1.12,5.98763656558822e-08,1.10755668835001,1.84771344816771
3890371,"bundesliga111",2.81,0.39,1.11,2.07502011581784e-09,1.60088169512332,1.20883070613881
3890373,"bundesliga112",2.85,1.25,1.07,2.93580370003407e-09,2.04661961405076,0.80108554843124
3890369,"bundesliga113",3.44,-1.85,1.08,1.21815164049147e-08,0.791354464366369,2.64579753214849
3890372,"bundesliga114",3.25,0.5,1.15,5.05101934419023e-09,1.87542497665666,1.37264340515174
3890368,"bundesliga115",3.12,0.99,1.16,4.45679016935521e-09,2.05228031759859,1.06520546732341
3890375,"bundesliga116",2.69,0.5,1.09,2.67504873059907e-09,1.59345374196547,1.09578619006868
3890374,"bundesliga117",2.3,0.41,1.06,2.56671280584125e-09,1.35295518757672,0.943092186425183
3890376,"bundesliga118",2.33,-0.21,1.07,3.46607806639634e-09,1.06266312443742,1.2681805378731
3890378,"bundesliga119",3.7,2.54,1.13,2.02234271010677e-08,3.1197403456962,0.579900141441076
3890274,"bundesliga12",2.91,-0.38,1.1,4.62831789572549e-09,1.26502761317545,1.64705779910728
3890380,"bundesliga120",2.35,-0.02,1.07,3.66659022121561e-09,1.1624263664241,1.18601142947248
3890377,"bundesliga121",2.86,-0.22,1.09,2.46368354981733e-09,1.32313171804441,1.53813251279771
3890381,"bundesliga122",2.97,0.43,1.1,6.63685070954535e-08,1.70041722865024,1.27078048153686
3890379,"bundesliga123",2.72,0.31,1.11,8.07146543195121e-09,1.51753810577137,1.20595934902955
3890383,"bundesliga124",2.92,-0.24,1.13,3.08388812349942e-09,1.33834961344646,1.58124970737274
3890384,"bundesliga125",3.97,2.12,1.04,1.05753449075084e-08,3.04366729099189,0.923312796291458
3890382,"bundesliga126",3.01,0.89,1.07,3.5534152081694e-09,1.94997692823772,1.05634717882843
3890385,"bundesliga127",2.96,1.11,1.13,2.23543712105006e-08,2.03444753583255,0.923327003710606
3890391,"bundesliga128",2.56,0.3,1.1,2.83953344674442e-09,1.42595180380869,1.13008514202162
3890386,"bundesliga129",2.69,0.26,1.11,3.51243418063147e-09,1.47537034641083,1.21881999316263
3890269,"bundesliga13",2.89,-0.1,1.1,4.89678181336486e-09,1.39531971738305,1.49464700003627
3890390,"bundesliga130",2.65,-0.66,1.12,4.25914555003377e-09,0.995182635818819,1.65548386914691
3890389,"bundesliga131",2.45,0.26,1.09,1.65108468398895e-09,1.35493758160213,1.09928719051747
3890387,"bundesliga132",3.29,-1.64,1.1,7.92700477290459e-09,0.825133425047159,2.46936644459589
3890388,"bundesliga133",3.21,-0.54,1.09,4.48646063930928e-09,1.3362963238081,1.87253916197429
3890393,"bundesliga134",2.56,0.51,1.14,1.90329064745165e-09,1.53860473952319,1.02370867412192
3890392,"bundesliga135",3.26,0.47,1.13,4.30335258929472e-09,1.86382131038763,1.3980616514715
3890394,"bundesliga136",3.07,0.41,1.11,8.34197254596195e-09,1.74020027514729,1.32705665082935
3890399,"bundesliga137",3.47,2.6,1.06,7.43891362309237e-09,3.03407254109328,0.436218020639317
3890398,"bundesliga138",2.28,0.06,1.12,2.09863089202078e-09,1.17309830825666,1.10819626677077
3890397,"bundesliga139",2.75,0.7,1.13,5.89383969895893e-09,1.72602056965624,1.0283215968443
3890273,"bundesliga14",2.86,-0.76,1.11,4.6964994859249e-09,1.04701109820449,1.80993113447229
3890395,"bundesliga140",3.05,0.85,1.08,5.29579950329331e-09,1.95049198385111,1.10318762153613
3890400,"bundesliga141",2.69,-0.01,1.11,1.030443820709e-09,1.33967799831435,1.35431650625353
3890396,"bundesliga142",2.98,1.12,1.11,2.86012217828513e-09,2.05467481298366,0.929935351984356
3890402,"bundesliga143",2.82,-0.1,1.1,4.29515449802225e-09,1.35967163492305,1.45703042105938
3890401,"bundesliga144",3.13,2.12,0.79,4.36134931161609e-08,2.62756263859641,0.50375401826105
3890403,"bundesliga145",2.95,0.98,1.07,6.57805020504887e-09,1.96627433217948,0.982548134414092
3890405,"bundesliga146",2.95,0.36,1.1,2.21820374718428e-09,1.65372928607186,1.29593360372098
3890406,"bundesliga147",3.12,-1.19,1.14,9.99716265410505e-09,0.962374419433272,2.15500731173433
3890404,"bundesliga148",2.55,0.21,1.09,3.72362825350141e-10,1.37672365905214,1.17169804776062
3890407,"bundesliga149",3.27,-2.04,1.07,2.23240519688328e-08,0.615483239581272,2.65883112166943
3890270,"bundesliga15",3.46,-2.07,1.07,7.51960949552402e-09,0.694022938521369,2.76207146935187
3890409,"bundesliga150",2.54,-0.83,1.12,4.04587211313899e-09,0.857116796211159,1.68450152651437
3890408,"bundesliga151",3.05,-0.44,1.11,7.50987124325055e-09,1.30179710884128,1.7447329820205
3890411,"bundesliga152",2.6,0.38,1.11,4.43831333637472e-10,1.48764011623498,1.10829257575599
3890410,"bundesliga153",2.86,1.07,1.06,5.40340902907611e-09,1.96570476513731,0.897438008984633
3890412,"bundesliga154",3.27,-2.06,1.06,1.46962204378012e-08,0.609299410254385,2.66556253255709
3890413,"bundesliga155",2.74,0.45,1.09,3.36448436422159e-09,1.59407117585,1.14888731628106
3890418,"bundesliga156",2.43,0.21,1.08,1.64250122891644e-09,1.3208005554814,1.11031583892355
